job,marital,education,default,housing,loan,contact,month,poutcome,Target
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,yes,cellular,aug,unknown,no
housemaid,married,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,aug,unknown,no
management,divorced,tertiary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,yes
technician,married,tertiary,no,no,no,cellular,aug,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,yes,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,unknown,no,yes,no,cellular,aug,unknown,no
self-employed,married,secondary,no,no,no,cellular,aug,unknown,no
retired,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
self-employed,married,tertiary,no,yes,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,yes,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,divorced,secondary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,tertiary,no,no,yes,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
admin.,married,tertiary,no,no,no,cellular,aug,unknown,no
management,divorced,tertiary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,no,yes,cellular,aug,unknown,no
services,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
self-employed,married,tertiary,no,no,no,cellular,aug,unknown,yes
admin.,married,secondary,no,yes,no,cellular,aug,unknown,no
retired,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
housemaid,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
retired,married,secondary,no,no,no,cellular,aug,unknown,no
retired,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,yes,cellular,aug,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,yes,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,yes
retired,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,cellular,aug,unknown,no
technician,divorced,secondary,no,yes,no,cellular,aug,unknown,yes
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,yes,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,yes
self-employed,single,tertiary,no,no,no,cellular,aug,unknown,no
retired,married,secondary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,yes,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
management,divorced,tertiary,no,yes,no,cellular,aug,unknown,no
management,married,secondary,no,yes,yes,cellular,aug,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,divorced,secondary,no,yes,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,yes
management,single,tertiary,no,yes,yes,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,unknown,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
technician,divorced,secondary,no,no,no,cellular,aug,unknown,yes
retired,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
services,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,yes,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,secondary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,yes,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,yes,telephone,aug,unknown,no
retired,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,telephone,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,yes,cellular,aug,unknown,no
retired,married,primary,no,no,no,cellular,aug,unknown,no
services,married,primary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,yes,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,yes,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,telephone,aug,unknown,no
technician,divorced,secondary,no,no,no,cellular,aug,unknown,yes
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,telephone,aug,unknown,no
technician,married,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
retired,married,secondary,no,no,yes,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,yes,cellular,aug,unknown,no
unemployed,married,tertiary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,yes,cellular,aug,unknown,no
technician,divorced,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,no,cellular,aug,unknown,no
self-employed,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,single,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
services,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,yes
management,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
unknown,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,telephone,aug,unknown,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,no
unemployed,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,yes,cellular,aug,unknown,no
retired,married,primary,no,yes,yes,telephone,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,yes,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,yes,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
services,married,primary,no,no,no,cellular,aug,unknown,no
services,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,yes,cellular,aug,unknown,no
housemaid,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
unemployed,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,aug,unknown,no
unemployed,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,unknown,no,no,no,cellular,aug,unknown,no
retired,married,secondary,no,yes,yes,cellular,aug,unknown,no
technician,married,secondary,no,yes,yes,cellular,aug,unknown,no
technician,divorced,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,cellular,aug,unknown,no
technician,single,tertiary,no,yes,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,yes,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,divorced,tertiary,no,no,yes,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,yes,yes,cellular,aug,unknown,no
services,married,secondary,no,no,yes,cellular,aug,unknown,yes
services,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
management,married,secondary,no,no,no,telephone,aug,unknown,no
unknown,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,yes
self-employed,married,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
self-employed,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,yes
self-employed,married,primary,no,yes,no,cellular,aug,unknown,no
management,divorced,tertiary,no,yes,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
unemployed,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,yes,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,yes,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
admin.,married,primary,no,yes,no,cellular,aug,unknown,no
self-employed,divorced,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
unknown,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,unknown,aug,unknown,yes
entrepreneur,married,primary,no,yes,no,cellular,aug,unknown,no
retired,married,primary,no,yes,yes,cellular,aug,unknown,no
unemployed,divorced,tertiary,no,yes,yes,cellular,aug,unknown,no
entrepreneur,married,primary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,yes
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,yes
self-employed,married,primary,no,no,no,cellular,aug,unknown,no
self-employed,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,yes,cellular,aug,unknown,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
retired,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,yes,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,divorced,tertiary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,yes,yes,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,yes,cellular,aug,unknown,no
management,married,tertiary,no,no,yes,cellular,aug,unknown,no
management,divorced,tertiary,no,no,yes,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,yes
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,yes
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,yes,cellular,aug,unknown,no
management,single,tertiary,yes,no,no,cellular,aug,unknown,no
retired,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,no,yes,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,yes,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,yes,yes,cellular,aug,unknown,no
admin.,married,secondary,no,no,yes,cellular,aug,unknown,no
unemployed,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,married,secondary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
technician,divorced,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
self-employed,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,yes,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
retired,divorced,secondary,no,no,yes,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,yes,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,yes,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,yes
technician,single,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,primary,no,no,no,cellular,aug,unknown,yes
technician,married,secondary,no,no,no,cellular,aug,unknown,no
services,married,unknown,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,yes,cellular,aug,unknown,no
technician,divorced,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
services,married,primary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
self-employed,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,yes,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
housemaid,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,yes
admin.,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,yes,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,yes,cellular,aug,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
housemaid,married,secondary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,yes
unemployed,married,secondary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,yes
technician,single,secondary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,no,no,cellular,aug,unknown,no
entrepreneur,married,primary,no,no,no,cellular,aug,unknown,no
technician,divorced,secondary,no,no,no,cellular,aug,unknown,yes
retired,married,secondary,no,no,yes,cellular,aug,unknown,no
management,single,secondary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,yes,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
technician,married,secondary,no,yes,yes,cellular,aug,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
housemaid,married,tertiary,no,no,no,cellular,aug,unknown,no
self-employed,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,yes
management,married,tertiary,no,no,no,cellular,aug,unknown,yes
technician,divorced,secondary,no,no,no,cellular,aug,unknown,no
services,married,primary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,yes,cellular,aug,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
housemaid,married,secondary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,yes,yes,cellular,aug,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
technician,divorced,tertiary,no,no,no,cellular,aug,unknown,no
retired,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
technician,married,secondary,no,no,yes,cellular,aug,unknown,no
management,divorced,tertiary,no,yes,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
unknown,married,secondary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
technician,single,secondary,no,yes,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,cellular,aug,unknown,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,no
